SAMPLE	BPD_BIP_2024.EUR_pgs_a0.5_b5e-08	MDD_MDD_2025_pgs_a0.5_b2e-08	SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07	PRSice_BPD_Pt_5e-08	PRSice_BPD_Pt_1e-06	PRSice_BPD_Pt_0.0001	PRSice_BPD_Pt_0.001	PRSice_BPD_Pt_0.01	PRSice_BPD_Pt_0.05	PRSice_BPD_Pt_0.1	PRSice_BPD_Pt_0.5	PRSice_BPD_Pt_1	PRSice_MDD_Pt_5e-08	PRSice_MDD_Pt_1e-06	PRSice_MDD_Pt_0.0001	PRSice_MDD_Pt_0.001	PRSice_MDD_Pt_0.01	PRSice_MDD_Pt_0.05	PRSice_MDD_Pt_0.1	PRSice_MDD_Pt_0.5	PRSice_MDD_Pt_1	PRSice_SCZD_Pt_5e-08	PRSice_SCZD_Pt_1e-06	PRSice_SCZD_Pt_0.0001	PRSice_SCZD_Pt_0.001	PRSice_SCZD_Pt_0.01	PRSice_SCZD_Pt_0.05	PRSice_SCZD_Pt_0.1	PRSice_SCZD_Pt_0.5	PRSice_SCZD_Pt_1
Br6000	-0.140078	0.296131	0.185478	0.709026891	0.336262104	3.95223111	4.44447239	1.00296932	3.70834484	4.19542799	-2.96232803	-2.33301114	0.1442386	0.0842163914	1.35946529	3.20313384	3.82739603	3.16211062	2.47459938	0.466444439	0.403624836	1.21032363	1.70072541	0.696451993	1.12838242	4.7631058	10.4503989	9.08008568	13.1371167	13.7217543
Br6016	-0.39277	0.0198585	-1.22992	-0.140031869	-0.792356591	2.15679755	1.44997743	-2.40374239	-2.87521626	-5.94624148	-14.4007849	-13.4535067	0.114678229	0.438794253	1.20279829	2.47457203	2.97640909	1.30929097	0.722750788	-3.45009379	-3.48028021	-0.56697581	-1.61418972	-1.76692048	-3.25973697	-6.46543778	-8.85530628	-16.8314137	-19.1846616	-19.6071525
Br6021	-0.238323	-0.0971944	-0.803496	0.792930951	-0.29528933	3.47134543	2.83003703	-2.20859004	-1.16863866	-3.60853063	-6.31071041	-5.41900801	-0.0201419388	-0.425343829	0.171863235	0.0633591651	0.00638823549	-1.02177189	-1.99643927	-4.76667834	-4.58842559	1.01444026	2.08367242	1.99076791	1.04479203	3.28657905	-3.92810643	-10.1600253	-8.92320473	-9.29622397
Br6114	-0.41067	-0.20919	-1.7872	-0.0500687694	-0.447193687	1.05534111	-0.224446195	-3.76203752	-1.20940662	-2.73162752	-4.47798381	-3.24662267	0.0581907478	-0.0965292165	0.453705309	0.857811641	0.80151562	1.3502044	-0.352131365	-2.307418	-2.61554461	-0.835730126	-1.45291031	-4.3599174	-7.03338259	-6.9607305	-15.236118	-20.7408823	-24.2448734	-24.6935869
Br6126	0.106673	0.18131	0.293079	0.495073362	0.171625599	3.48824352	4.31403822	2.61642737	4.78492713	6.38172129	2.6301878	3.64260629	0.0466807733	-0.0547369133	0.417702003	2.26880154	2.14985188	3.38611816	2.64496901	-0.349807571	-0.246195855	0.914354881	1.64990217	1.0133468	2.37678838	9.35079156	8.94015966	0.483609259	2.04953985	4.00571588
Br6148	-0.241374	0.183362	0.053455	-0.239994027	-1.33179107	2.82105891	2.76176345	-0.103325056	-3.56755207	-1.58711086	-3.48682013	-2.86106222	0.123860597	0.466493299	2.79049369	4.10293842	4.47890222	3.42155766	2.37044944	-0.937463781	-0.961143946	1.09531824	1.42880771	-0.458658157	0.387938727	1.96861554	-3.97365926	-10.4713175	-12.3063792	-11.5871591
Br6192	-1.01545	-0.087791	-1.99327	-0.0926069125	-1.01082516	2.08240598	-0.280158257	-6.32646127	-7.54720834	-9.26615126	-14.8456052	-13.6295984	-0.0223582412	0.0984583882	1.0775454	1.67272734	0.81492003	-0.68092548	-1.70059663	-5.04639326	-4.87721782	0.404158567	-0.271827228	-2.09950483	-4.19332566	-10.5896178	-15.4949911	-22.9435398	-28.0550508	-29.3066586
Br6197	-0.699886	0.0615082	-1.25295	-0.034538469	-1.00175268	2.70777179	4.20473997	-1.90392941	-5.44639499	-6.84543736	-14.7304164	-13.9333285	0.381401662	0.094072362	0.68196323	2.76987025	2.18588317	1.54435284	0.0909681199	-3.99433408	-3.34715741	0.393677187	-0.216611776	-1.54080866	-1.58162558	-6.25417925	-10.3039083	-17.8887254	-22.3890252	-22.3701757
Br6203	-0.539425	-0.146512	-1.14497	-0.108564025	-0.959504503	1.7505565	2.72196462	-3.89919158	-1.2855895	0.176749323	-1.77936631	-0.0791295756	-0.487969681	-0.258051672	0.0755145482	1.37703741	2.53547367	1.88748003	-0.594532377	-2.90513959	-2.73988001	-2.8037064	-3.8846993	-4.20287914	-5.87093117	-2.15373663	-10.3366199	-17.1639926	-21.5936358	-20.9442686
Br6231	-0.671472	-0.0798992	-1.26622	-0.573157411	-1.72775852	0.425890884	-0.267579865	-6.59593517	-10.8338576	-6.97938723	-11.8806535	-11.6038286	-0.158942306	-0.481354081	0.530064686	1.55904908	2.43444175	1.16069659	-1.03126709	-5.02846292	-5.08780817	-0.40911598	-2.03356108	-4.7684758	-4.85665733	-8.11574315	-14.2945982	-21.3602223	-27.6806722	-28.324233
Br6238	-0.53709	0.251503	-0.871178	-0.601546776	-1.26036131	0.999336393	-0.641034492	-4.27778863	-4.3131923	-4.44371744	-7.76727111	-6.74063986	-0.300692356	-0.44606663	0.57055924	2.42746482	2.19331772	1.71945423	1.17486529	0.863595597	1.14577458	-4.55471007	-5.78963197	-6.79524065	-5.97000663	-1.36833283	-6.64846415	-10.0494522	-9.72724582	-8.90940921
Br6256	-0.309237	0.116655	-0.886559	-0.380516081	-1.63352865	0.455983276	1.3457369	-2.6197132	-3.49429879	-3.8696986	-8.22452373	-7.41601539	0.108988377	-0.296464701	0.487636773	2.51655101	2.66231365	1.45920975	-0.212628273	-5.24597957	-5.30584073	-0.450385421	-1.83026332	-3.52266648	-4.27614107	-5.1261096	-11.524572	-15.1883552	-16.8368698	-16.5262141
Br6279	-0.651877	-0.150205	-0.284059	-0.523234298	-1.14743627	1.77690693	2.40790483	-4.66224166	-4.6457539	-7.12642495	-13.6101501	-13.0040031	0.484566995	0.0465848482	0.372314691	1.19928286	1.23300514	0.423969889	-0.6653269	-4.52545451	-4.42371417	1.44878494	1.15733991	-0.200224702	2.85208628	2.07222383	-3.82635417	-13.1284738	-18.0142064	-17.5835167
Br6297	-0.583741	0.0138111	-0.999499	0.0506415016	-0.111587678	2.82348749	2.73049882	-3.05535643	-6.00971885	-6.43510421	-12.5004794	-12.1472705	0.709211769	0.586074466	1.50118378	2.03216612	1.13966588	0.825769659	-1.04767121	-3.65275425	-3.08547478	-1.09294258	-1.82319873	-2.3813043	-4.51914576	-6.52758668	-10.8733297	-19.7261907	-21.1421586	-21.1744861
Br6316	-0.609961	-0.183446	-0.302003	0.245751364	-1.04587161	2.81315145	3.00009969	-2.95371027	-2.86869609	-5.49865128	-12.5441814	-11.3516455	0.548829224	0.466650273	0.611878336	1.20711489	-1.02499154	-0.69106663	-0.180552621	-4.4325322	-4.51362762	0.723951442	0.774618196	-0.27686917	0.0250739478	-0.0104796059	-0.649017375	-7.61056269	-9.35664703	-8.75829849
Br6320	-0.391252	-0.161819	-0.938422	0.0805618529	-0.783623048	2.55121809	3.57418777	-1.2113473	-0.907328889	-0.127681283	-4.7235223	-3.74425137	-0.126771383	-0.319217746	-0.423592862	1.22257532	-0.0608842404	0.0680446209	-1.84538572	-5.30041355	-5.2487977	0.854579214	0.345898695	-0.0395001039	1.90276151	4.30639779	2.66988665	-5.11563722	-10.9969139	-11.4558909
Br6344	-0.471689	0.00201811	-1.42139	-0.829853487	-1.81842159	2.0689493	3.08814373	-1.99098444	1.10057502	3.32948333	-0.165459181	0.515599557	-0.546373671	-0.409099526	0.688623289	1.71943834	2.02779419	3.17648903	2.88741347	1.07592582	1.17811115	-2.48430216	-3.34065953	-3.90649453	-4.33627614	-3.50315374	-9.09516677	-15.0290538	-19.1665807	-19.0127708
Br6366	-0.545907	-0.00776514	-1.17166	0.0284098804	-0.792832962	1.92021435	1.49857342	-4.94378711	-3.45632503	-2.31209857	-11.1075051	-9.92100795	-0.214192076	-0.406732411	0.62121134	0.423816476	-0.151472801	0.601608763	-0.331610209	-2.10341605	-2.24074512	-0.473336069	-1.37756692	-3.69660594	-3.28499298	-4.80856045	-7.02931146	-15.719137	-18.4756453	-17.7251895
Br6382	-0.21051	0.0618698	-0.154629	0.437869824	0.32206108	2.63839511	4.28169886	-0.931323747	-2.29518938	0.196326279	-7.59793962	-7.21765348	0.144663826	-0.0855973941	0.0558079557	0.958131343	0.711147772	-0.281150712	-0.660477001	-2.60058073	-2.62706679	1.82239376	1.96974446	1.04245536	2.89191857	0.0756257541	-2.04074599	-10.03674	-14.9662359	-15.1866037
Br6413	-0.201962	0.0788342	-0.291399	0.582746391	0.677158704	3.03612007	3.66618398	-1.45985881	2.72384931	3.29602814	-0.978443799	0.640736327	-0.210396057	-0.543993853	0.130880973	1.62156109	1.06608935	1.6058431	0.378457765	-2.14391562	-1.76841811	0.445821179	-0.647398615	-1.40206207	-0.718471523	-3.34925018	-7.00552759	-11.5375364	-18.2275037	-17.0831924
Br6424	-0.374704	-0.120187	-0.71972	-0.080768829	-0.622529684	2.04920711	2.44711212	1.5997132	-0.803062318	0.138556369	-1.24940995	0.332846808	-0.68149968	-0.804995903	-0.541375885	0.272183577	0.43630569	-1.03105202	-2.47177235	-7.75619301	-7.6379262	1.65575672	0.625643082	-0.839069569	1.78555703	-1.55480072	-5.83829048	-14.9819086	-15.4831208	-15.5039009
Br6432	-0.637543	-0.19676	-2.27405	-1.06311559	-1.42829239	1.25298869	1.28286614	-4.66431658	-3.30787046	-6.66661072	-11.928275	-11.0873308	-0.89139138	-0.996896916	-0.801076927	-0.224283975	-2.28222277	-3.62820088	-5.4859665	-8.56677543	-9.06470452	-5.86012388	-7.01610261	-9.74879557	-12.4963762	-17.2561375	-21.7422084	-30.9153077	-32.6030733	-33.1046327
Br6436	-0.385875	-0.0235979	-1.31368	0.315931822	0.31121459	3.73713563	5.17516189	-2.14716591	-1.00060948	-1.27215333	-6.11982684	-5.67060206	0.506768421	0.65769772	1.42697547	3.28582533	2.83122741	2.45718229	1.38691597	-1.2446788	-1.01823342	1.80889006	1.78789499	0.0768578824	-1.0712415	-0.418583162	-6.37292091	-14.428132	-18.1105538	-17.4224448
Br6450	-0.589897	-0.0783758	-0.903907	0.409320201	-0.517384981	2.58092926	2.84272541	-3.8919204	-6.09192217	-8.28568406	-12.3724858	-11.3907372	0.362083124	0.393018489	1.11628476	2.1905847	1.67481491	1.04959733	-0.0619410052	-4.8184931	-5.38090081	0.181706442	-0.434756454	-2.19508684	-2.21209913	0.569178182	-6.00805704	-10.655177	-12.9375514	-12.1641742
